class,alias,section,option,units,default,dependencies
mvMax5.costMiniGrid.GeneratorOperationsAndMaintenanceCostPerYear,mg_dg_om,system (mini-grid),power generation operations and maintenance cost per year,dollars per year,None,mvMax5.costMiniGrid.GeneratorOperationsAndMaintenanceCostPerYearAsFractionOfGeneratorCost;mvMax5.costMiniGrid.GeneratorCost
mvMax5.costMiniGrid.GeneratorReplacementCostPerYear,mg_dg_rep,system (mini-grid),power generatation lifetime replacement cost per year,dollars per year,None,mvMax5.costMiniGrid.GeneratorCost;mvMax5.costMiniGrid.GeneratorLifetime
mvMax5.costMiniGrid.FuelBatteryCostPerYear,mg_fl,system (mini-grid),fuel and/or storage costs per year,dollars per year,None,mvMax5.costMiniGrid.FuelCostPerKilowattHour;mvMax5.costMiniGrid.PercentOfKilowattHourRequiringFuelOrStorage;mvMax5.demand.ProjectedNodalDemandPerYear;mvMax5.costMiniGrid.DistributionLoss
mvMax5.costMiniGrid.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYear,mg_le_om,system (mini-grid),low voltage line equipment operations and maintenance cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineEquipmentOperationsAndMaintenanceCostPerYearAsFractionOfEquipmentCost;mvMax5.costMiniGrid.LowVoltageLineEquipmentCost
mvMax5.costDistribution.LowVoltageLineRecurringCostPerYear,di_ll_rec,distribution,low voltage line recurring cost per year,dollars per year,None,mvMax5.costDistribution.LowVoltageLineOperationsAndMaintenanceCostPerYear;mvMax5.costDistribution.LowVoltageLineReplacementCostPerYear
mvMax5.costGrid.GridInstallationCost,gr_i,system (grid),installation cost,dollars,None,mvMax5.costGrid.GridInstallationCostPerConnection;mvMax5.costGrid.GridInternalConnectionCount
mvMax5.costGrid.GridTransformerCost,gr_tr,system (grid),transformer cost,dollars,None,mvMax5.costGrid.GridTransformerCostPerGridSystemKilowatt;mvMax5.costGrid.GridTransformerActualSystemCapacity
mvMax5.costGrid.LowVoltageLineEquipmentCost,gr_le,system (grid),low voltage line equipment cost,dollars,None,mvMax5.costDistribution.LowVoltageLineEquipmentCostPerConnection;mvMax5.costGrid.GridInternalConnectionCount
mvMax5.costGrid.GridTransformerOperationsAndMaintenanceCostPerYear,gr_tr_om,system (grid),transformer operations and maintenance cost per year,dollars per year,None,mvMax5.costGrid.GridTransformerOperationsAndMaintenanceCostPerYearAsFractionOfTransformerCost;mvMax5.costGrid.GridTransformerCost
mvMax5.costGrid.GridTransformerReplacementCostPerYear,gr_tr_rep,system (grid),transformer replacement cost per year,dollars per year,None,mvMax5.costGrid.GridTransformerCost;mvMax5.costGrid.GridTransformerLifetime
